OrderID,CustomerID,ProductID,Quantity,Date and time of purchase,Delivery time,Delivery Status
1,247,58,1,2024-05-20 12:28:54,2024-05-25 12:28:54,Delivered
2,123,78,3,2024-10-21 01:43:32,2024-10-23 01:43:32,Delivered
3,45,2,3,2024-03-16 12:04:54,2024-03-20 12:04:54,Delivered
4,121,15,5,2024-08-22 14:00:42,2024-08-29 14:00:42,Delivered
5,53,75,3,2024-05-28 04:17:28,2024-05-30 04:17:28,Delivered
6,342,7,4,2024-03-18 21:31:08,2024-03-21 21:31:08,Delivered
7,328,43,4,2024-08-09 07:16:51,2024-08-12 07:16:51,Delivered
8,16,12,2,2024-03-12 19:47:20,2024-03-18 19:47:20,Delivered
9,192,49,1,2024-04-05 02:52:56,,Cancelled
10,453,18,3,2024-04-21 01:02:00,,Cancelled
11,298,76,3,2024-04-17 12:41:41,2024-04-21 12:41:41,Delivered
12,373,54,1,2024-06-16 08:30:45,2024-06-21 08:30:45,Delivered
13,87,2,1,2024-09-23 10:21:06,2024-09-25 10:21:06,Delivered
14,217,44,5,2024-09-04 13:14:29,,Cancelled
15,208,60,4,2024-08-23 16:58:45,2024-08-26 16:58:45,Delivered
16,409,38,4,2024-03-16 15:03:22,,Cancelled
17,321,14,2,2024-04-11 18:32:45,,Cancelled
18,220,29,3,2024-09-06 10:27:30,,Cancelled
19,109,41,2,2024-06-07 16:12:33,,Cancelled
20,233,18,3,2024-08-13 06:28:05,2024-08-16 06:28:05,Delivered
21,56,75,3,2024-01-21 21:05:18,2024-01-24 21:05:18,Delivered
22,18,27,2,2024-03-05 13:27:56,,Cancelled
23,12,31,3,2024-04-02 17:22:42,2024-04-06 17:22:42,Delivered
24,144,50,1,2024-10-20 16:56:01,2024-10-27 16:56:01,Delivered
25,202,2,1,2024-01-11 11:18:29,,Cancelled
26,227,10,4,2024-10-28 06:36:34,2024-10-31 06:36:34,Delivered
27,18,30,3,2024-02-11 00:39:17,2024-02-15 00:39:17,Delivered
28,55,78,2,2024-05-07 19:05:49,2024-05-10 19:05:49,Delivered
29,293,63,4,2024-02-23 20:30:04,2024-02-27 20:30:04,Delivered
30,287,37,5,2024-03-04 20:29:19,2024-03-09 20:29:19,Delivered
31,372,41,1,2024-04-13 19:33:06,2024-04-19 19:33:06,Delivered
32,11,68,5,2024-02-26 14:36:49,2024-03-04 14:36:49,Delivered
33,129,32,4,2024-08-20 08:46:42,,Cancelled
34,16,70,2,2024-08-02 12:30:50,2024-08-09 12:30:50,Delivered
35,403,34,2,2024-08-31 04:01:19,,Cancelled
36,416,65,5,2024-06-06 23:49:00,2024-06-10 23:49:00,Delivered
37,142,36,3,2024-10-28 10:19:21,2024-11-01 10:19:21,Delivered
38,315,49,3,2024-10-16 11:55:14,2024-10-19 11:55:14,Delivered
39,393,63,3,2024-07-15 08:38:04,2024-07-18 08:38:04,Delivered
40,23,28,4,2024-01-25 18:19:27,2024-01-29 18:19:27,Delivered
41,391,9,3,2024-10-09 03:32:59,2024-10-15 03:32:59,Delivered
42,454,16,2,2024-10-18 18:14:11,2024-10-25 18:14:11,Delivered
43,103,15,1,2024-07-01 14:57:24,2024-07-03 14:57:24,Delivered
44,368,42,1,2024-06-06 12:45:30,,Cancelled
45,329,63,4,2024-01-24 14:28:05,2024-01-26 14:28:05,Delivered
46,221,80,5,2024-07-13 06:08:54,2024-07-17 06:08:54,Delivered
